選手名,登録番号,卒業期,地区,ホームバンク,府県,脚質,生年月日,縁故選手,友人,練習仲間,練習グループ,師匠,弟子,好きな周長,好きな車番,好きな食べ物,嫌いな食べ物
森本　桂太郎,15648,121期,四国,松山,愛媛県,逃,1998/8/8,-,合地　登汰（岡　山・121期）、近藤　雄太（岡　山・121期）、太田　海也（岡　山・121期）、滝本　幸正（新　潟・121期）、橋本　陸（福　岡・121期）、坂田　康季（佐　賀・121期）,渡部　哲男（愛　媛・84期）、板崎　佑矢（愛　媛・101期）、下野　義城（愛　媛・115期）、菊池　崇史（愛　媛・61期）、上田　学（愛　媛・69期）、武智　尚之（愛　媛・70期）、鳥生　知八（愛　媛・77期）、横内　裕人（愛　媛・100期）、高山　雄丞（愛　媛・109期）、岡本　翔（愛　媛・123期）,-,渡部　哲男（愛　媛・84期）,-,400m,１・２・３・７・８,肉、魚,茄子
守谷　陽介,13884,87期,中国,玉野,岡山県,両,1980/5/10,野見 泰要(義弟101期),-,-,-,本田　晴美（岡　山・51期）,-,-,１・２,-,-
森安　崇之,13653,84期,四国,高松,香川県,追,1978/1/10,-,近藤　誠二（香　川・80期）,池田　憲昭（香　川・90期）、蓮井　祐輝（香　川・93期）、宮崎　康司（香　川・94期）、戸田　康平（香　川・101期）、清水　邦章（香　川・68期）、吉田　周司（香　川・70期）、原　誠宏（香　川・91期）,-,真鍋　浩二（香　川・51期）,-,-,1,肉、寿司,しいたけ、ピーマン、ごぼう
諸橋　愛,13249,79期,関東,弥彦,新潟県,追,1977/7/21,-,鶴蒔　将隆（栃　木・79期）、小林　大介（群　馬・79期）,池端　将巳（新　潟・79期）、松本　一成（新　潟・77期）、中山　善仁（新　潟・73期）、村上　順規（新　潟・80期）,-,小川　隆（新　潟・45期）,-,-,1,食べ物ほとんど,-
谷内　健太,15822,125期,近畿,向日町,京都府,逃,2000/7/6,-,-,-,-,-,-,400m,1,焼肉,特になし
宿口　潤平,14151,91期,関東,大宮,埼玉県,追,1982/4/16,宿口 陽一(弟91期),-,野村　昌弘（埼　玉・84期）、細沼　健治（埼　玉・89期）、伊藤　亮（埼　玉・92期）、緒方　剛（埼　玉・92期）,-,野村　昌弘（埼　玉・84期）,-,-,1,メロン・肉,かぼちゃ
宿口　陽一,14152,91期,関東,西武園,埼玉県,両,1984/4/3,宿口 潤平(兄91期),-,平原　康多（埼　玉・87期）、伊藤　亮（埼　玉・92期）、柿沼　信也（埼　玉・91期）、笠松　将太（埼　玉・100期）,-,野村　昌弘（埼　玉・84期）,-,-,-,すき焼き,レンコン
梁島　邦友,15420,117期,関東,取手,茨城県,逃,1999/5/7,-,-,山下　渡（茨　城・91期）,-,山下　渡（茨　城・91期）,-,400m,1,海産物,ない
簗田　一輝,15051,107期,南関東,静岡,静岡県,両,1996/1/9,-,-,-,藁科軍団､競輪サウナ部,村本　大輔（静　岡・77期）,-,-,-,貝類、サラダ,無し
柳詰　正宏,14624,97期,九州,小倉,福岡県,追,1987/7/30,柳詰 利明(祖父6期・引退)柳詰 美義(叔父35期・引退),-,-,-,今村　康志（福　岡・66期）,-,-,-,肉、魚,-
矢野　昌彦,14142,91期,関東,宇都宮,栃木県,逃,1982/4/24,-,小野　大介（福　島・91期）、林　巨人（愛　知・91期）、笹倉　慎也（富　山・91期）、山田　哲也（愛　知・99期）,高塩　讓次（栃　木・90期）、塚本　和宏（栃　木・90期）、中川　貴徳（栃　木・91期）、小田倉勇二（埼　玉・91期）、神山　拓弥（栃　木・91期）、古川　尚耶（栃　木・92期）、齋藤　昌太（栃　木・93期）、長島　大介（栃　木・96期）、磯田　旭（栃　木・96期）、星野　辰也（栃　木・95期）,-,瀧深　一彦（栃　木・40期）,-,-,１・５,オーガニック食品、ぬか漬け,添加物食品、人工甘味料入り飲料水
山内　卓也,13118,77期,中部,名古屋,愛知県,追,1977/3/1,-,鳥越　靖弘（愛　知・77期）、小野　俊之（大　分・77期）、小倉　竜二（徳　島・77期）,山田　圭二（愛　知・70期）、一丸　安貴（愛　知・70期）、林　巨人（愛　知・91期）、小塚　潤（愛　知・86期）、猪俣　康一（愛　知・99期）、山田　哲也（愛　知・99期）、太田黒真也（愛　知・85期）、林　敬宏（愛　知・117期）,-,黒須　修典（愛　知・期前）,猪俣　康一（愛　知・99期）、山田　哲也（愛　知・99期）、林　敬宏（愛　知・117期）,-,１・７・９,しょうが焼（豚肉）ハンバーグ,なし
山賀　雅仁,13850,87期,南関東,千葉,千葉県,両,1982/3/6,-,-,-,-,大坪　義和（千　葉・55期）,篠崎　新純（千　葉・102期）,-,全て,鮪、牛肉,-
山形　一気,14554,96期,四国,小松島,徳島県,追,1989/1/18,-,-,小倉　竜二（徳　島・77期）、久樹　克門（徳　島・113期）,-,米澤　大輔（徳　島・73期）,-,-,５・７・９,焼肉、寿司,-
山岸　佳太,15038,107期,関東,取手,茨城県,両,1989/11/11,-,-,-,小倉グループ,堀　政美（茨　城・65期）,-,-,-,-,-
山口　敦也,15291,113期,九州,武雄,佐賀県,追,1997/12/24,-,舟山　佑京（新　潟・113期）、薦田　将伍（愛　媛・113期）、土居　佑次（高　知・113期）,原　司（佐　賀・70期）,-,原　司（佐　賀・70期）,-,-,１・２・３,刺身、焼肉、すき焼き,カレー
山口　拳矢,15451,117期,中部,大垣,岐阜県,両,1996/1/26,山口啓（７期）山口幸二（62期）山口聖矢（115期）,-,山口　富生（岐　阜・68期）、松岡　篤哉（岐　阜・97期）、竹内　雄作（岐　阜・99期）、山口　聖矢（岐　阜・115期）,-,山口　富生（岐　阜・68期）,-,400m,１・２・３,お肉,野菜
山口　泰生,14028,89期,中部,岐阜,岐阜県,追,1981/12/10,山口利逸(祖父）山口定子(祖母）山口剛生（父）永井清史（義弟),-,-,-,竹内　久人（岐　阜・37期）,-,400m,7,ロデオラウンドアップのステーキ、焼肉,トマトジュース
山口　貴弘,14268,92期,九州,武雄,佐賀県,追,1984/1/26,-,-,-,-,中山　匡男（佐　賀・69期）,-,-,１・２・３,カツカレー,-
山口　多聞,15608,121期,関東,大宮,埼玉県,逃,2001/12/20,-,加藤　将武（埼　玉・121期）、五十嵐　綾（福　島・121期）、長谷川飛向（東　京・121期）、永井　哉多（東　京・121期）、田代　匠（福　岡・121期）,山信田　学（埼　玉・83期）、森田　優弥（埼　玉・113期）、藤田　周磨（埼　玉・117期）、中山　拓人（埼　玉・121期）、近藤　圭佑（埼　玉・121期）、熊崎　麻人（埼　玉・123期）、中島　淳（埼　玉・125期）、森田　一郎（埼　玉・125期）,見沼グループ,山信田　学（埼　玉・83期）,-,-,-,じゃがいも系の料理,かたい目玉焼きの黄身は克服、海老の頭
山口　富生,12450,68期,中部,大垣,岐阜県,追,1970/1/6,山口啓(7期)、山口幸二(62期)、山口聖矢(115期）、山口拳矢(117期）,-,吉村　和之（岐　阜・80期）、山田　雅之（岐　阜・72期）、伊藤　嘉浩（岐　阜・79期）、本村　隆文（岐　阜・81期）,-,棚橋　良博（岐　阜・29期）,松岡　篤哉（岐　阜・97期）、向井裕紀弘（岐　阜・98期）、竹内　雄作（岐　阜・99期）、山口　聖矢（岐　阜・115期）、山口　拳矢（岐　阜・117期）,-,-,-,-
山口　貴嗣,13514,82期,九州,久留米,福岡県,追,1978/9/14,-,-,-,-,檀　雄二（福　岡・66期）,-,-,9,肉,にんじん
山崎　賢人,15213,111期,九州,佐世保,長崎県,逃,1992/12/17,-,境　啓亨（熊　本・111期）、森川　康輔（岐　阜・111期）、蕗澤鴻太郎（群　馬・111期）、田尾　駿介（高　知・111期）、久保田泰弘（山　口・111期）,荒井　崇博（長　崎・82期）、井上　昌己（長　崎・86期）、山口幸太郎（長　崎・99期）、船倉　卓郎（長　崎・99期）、西田　将士（長　崎・105期）、野口のぞみ（長　崎・110期）,諫早干拓,山口幸太郎（長　崎・99期）,-,400m,6,明太子,-
山崎　泰己,14881,101期,中国,玉野,岡山県,追,1989/6/22,-,-,-,下津井グループ,柳原　茂巳（岡　山・55期）,-,-,１・３,焼肉・くだもの,にがいもの
山崎　歩夢,15789,125期,北日本,いわき平,福島県,逃,2005/3/25,山崎芳仁(88期)山崎司(95期),-,-,-,山崎　芳仁（福　島・88期）,-,-,9,-,-
山崎　将幸,14212,92期,北日本,-,宮城県,追,1987/6/1,山崎 幸悦(父33期・引退)山崎 陽祐(兄85期・引退)山崎 功也(弟95期),森川　大輔（岐　阜・92期）、片折　亮太（埼　玉・92期）,安部　貴之（宮　城・92期）、菅田　壱道（宮　城・91期）,-,山崎　幸悦（秋　田・33期）,-,-,4,寿司,ピーマン
山崎　芳仁,13920,88期,北日本,いわき平,福島県,両,1979/6/12,山崎 司(弟・95期)山崎 歩夢（子・125期）,-,佐藤慎太郎（福　島・78期）、青森　伸也（福　島・87期）、鈴木　誠（福　島・84期）、佐藤　悦夫（栃　木・86期）、金成　和幸（福　島・88期）、白石　大輔（福　島・88期）,-,添田　広福（福　島・49期）,-,-,3,肉,ゴーヤ
山下　一輝,14551,96期,中国,防府,山口県,追,1989/8/18,-,-,大林　勝敏（山　口・72期）、久保田泰弘（山　口・111期）,-,大林　勝敏（山　口・72期）,久保田泰弘（山　口・111期）,-,9,肉,レーズン
山下　渡,14138,91期,関東,取手,茨城県,追,1983/9/3,-,-,朝秀　忠（茨　城・68期）、梁島　邦友（茨　城・117期）,-,朝秀　忠（茨　城・68期）,梁島　邦友（茨　城・117期）,-,1,寿司,-
山田　敦也,13901,88期,北日本,函館,北海道,追,1983/7/13,-,-,-,-,高村　敦（北海道・35期）,-,-,-,アイス,-
山田　駿斗,15706,123期,南関東,松戸,千葉県,逃,2004/1/28,-,中原　航大（岡　山・123期）、佐藤譲士郎（埼　玉・123期）、峯口　司（長　崎・123期）、小柳　智徳（長　崎・123期）、高橋　海月（青　森・123期）、立花　昌也（青　森・123期）、日吉　克実（静　岡・123期）、中岡　海（愛　媛・123期）,染谷　幸喜（千　葉・111期）、山中　秀将（千　葉・95期）、鈴木　浩太（千　葉・119期）、鳥海　創（千　葉・123期）、坪内　恒（千　葉・123期）,-,染谷　幸喜（千　葉・111期）,-,400m,１・２・９,すし、ラーメン,納豆
山田　久徳,14317,93期,近畿,向日町,京都府,両,1987/8/24,山田 栄治(祖父・期前・引退)山田 英之(父54期・引退),-,村上　博幸（京　都・86期）、藤木　裕（京　都・89期）、谷内　健太（京　都・125期）,-,山田　英之（京　都・54期）,-,-,-,焼肉,ナス
山田　英明,14047,89期,九州,武雄,佐賀県,両,1983/3/29,山田 庸平(弟94期)山田 秀(父37期・引退)山田 貞彦(叔父43期・引退),-,山田　庸平（佐　賀・94期）,-,中野　龍浩（佐　賀・53期）,-,-,1,焼肉、寿司,-
山田　庸平,14417,94期,九州,武雄,佐賀県,両,1987/11/8,山田 英明(兄89期)山田 秀(父37期・引退)山田 貞彦(叔父43期・引退),-,佐々木浩三（佐　賀・50期）、山田　英明（佐　賀・89期）,-,中野　龍浩（佐　賀・53期）,-,-,-,-,-
山田　諒,15268,113期,中部,岐阜,岐阜県,両,1999/2/4,-,渋谷　海（香　川・113期）、國井　裕樹（神奈川・113期）、伊藤　歩登（兵　庫・113期）、福永　大智（大　阪・113期）、森田　優弥（埼　玉・113期）、嵯峨昇喜郎（青　森・113期）、眞杉　匠（栃　木・113期）,-,-,-,-,400m,１・４,-,-
山中　貴雄,14108,90期,四国,高知,高知県,追,1983/4/16,-,-,-,-,山本　剛（高　知・52期）,山中　崇弘（高　知・113期）,-,3,トマト,らっきょう
山根　将太,15546,119期,中国,玉野,岡山県,逃,1997/7/9,山根慶太（弟123期）,梶原　大地（福　岡・119期）、渡口　勝成（山　口・119期）、志田　龍星（岐　阜・119期）,-,-,佐伯　亮輔（岡　山・113期）,-,400m,3,肉,キクラゲ
山本　恵介,14801,100期,北日本,いわき平,福島県,両,1980/6/2,-,-,-,-,鈴木謙太郎（茨　城・90期）,-,-,-,焼き肉,ネギ類、ニンジン
山本　拳也,15124,109期,四国,高知,高知県,追,1990/4/29,山本 剛(父52期・引退),堀　僚介（大　阪・109期）、本馬　鎌（福　島・109期）,森岡　正臣（高　知・75期）、山中　貴雄（高　知・90期）、都築　巧（高　知・123期）,-,山本　剛（高　知・52期）,-,-,5,オムライス,-
山本　勝利,15433,117期,関東,立川,東京都,逃,1998/6/15,-,-,水森　湧太（東　京・117期）、武田　亮（東　京・115期）、高橋　築（東　京・109期）、山本恵太郎（東　京・71期）、松本　詩乃（東　京・122期）,大宮道場,山崎　充央（東　京・79期）,-,333m,2,焼肉、ラーメン,焼魚
山本　奨,14409,94期,中国,玉野,岡山県,両,1988/11/24,山本 直(弟101期),阿部　大樹（埼　玉・94期）,山本　直（岡　山・101期）、龍野琳太郎（岡　山・123期）,-,岡野　順一（岡　山・61期）,-,-,2,ラーメン,無し
山本　伸一,14886,101期,近畿,奈良,奈良県,両,1983/2/15,-,-,-,-,篠原　英雄（高　知・81期）,-,-,1,焼肉,セロリ
山本　紳貴,15046,107期,南関東,松戸,千葉県,追,1985/2/14,山本 奈知(妻106期),和田健太郎（千　葉・87期）,中村　浩士（千　葉・79期）、根田　空史（千　葉・94期）、岩本　俊介（千　葉・94期）、原田　亮太（千　葉・115期）、田中　まい（千　葉・104期）,中村道場,和泉田喜一（千　葉・59期）,山本　天平（千　葉・125期）,-,-,ケンタッキー､ステーキ､寿司,無し
山本　直,14882,101期,中国,玉野,岡山県,両,1992/9/12,山本　奨（兄・94期）,才迫　開（広　島・101期）,岡野　順一（岡　山・61期）、川崎　洋（岡　山・69期）、小畑　大臣（岡　山・74期）、山本　奨（岡　山・94期）,-,岡野　順一（岡　山・61期）,-,-,3,ラーメン,レーズン
